YEARMAKE,MODEL,TRIM,STOCK,VIN,@QR,QRYEARMODEL,QRSTOCK,@QR2,MISC
2025 Honda,Ridgeline,AWD TRAILSPORT,2025 Ridgeline - 251166,NEW - 5FPYK3F64SB033489,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_12.PNG,2025 Ridgeline - 251166,NEW - 5FPYK3F64SB033489,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_12.PNG,2025 Ridgeline - 251166 - NEW - 5FPYK3F64SB033489
2025 Honda,Ridgeline,AWD TRAILSPORT,2025 Ridgeline - 251196,NEW - 5FPYK3F64SB034996,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_13.PNG,2025 Ridgeline - 251196,NEW - 5FPYK3F64SB034996,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_13.PNG,2025 Ridgeline - 251196 - NEW - 5FPYK3F64SB034996
2025 Honda,Odyssey,SPORT-L,2025 Odyssey - 251272,NEW - 5FNRL6H75SB074232,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_14.PNG,2025 Odyssey - 251272,NEW - 5FNRL6H75SB074232,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_14.PNG,2025 Odyssey - 251272 - NEW - 5FNRL6H75SB074232
2025 Honda,Ridgeline,AWD BLACK EDITION,2025 Ridgeline - 251016,NEW - 5FPYK3F80SB027657,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_15.PNG,2025 Ridgeline - 251016,NEW - 5FPYK3F80SB027657,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_15.PNG,2025 Ridgeline - 251016 - NEW - 5FPYK3F80SB027657
2025 Honda,Ridgeline,AWD BLACK EDITION,2025 Ridgeline - 251165,NEW - 5FPYK3F83SB033386,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_16.PNG,2025 Ridgeline - 251165,NEW - 5FPYK3F83SB033386,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_16.PNG,2025 Ridgeline - 251165 - NEW - 5FPYK3F83SB033386
2025 Honda,Ridgeline,AWD TRAILSPORT,2025 Ridgeline - 250377,NEW - 5FPYK3F69SB006322,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_17.PNG,2025 Ridgeline - 250377,NEW - 5FPYK3F69SB006322,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_17.PNG,2025 Ridgeline - 250377 - NEW - 5FPYK3F69SB006322
2025 Honda,Ridgeline,AWD TRAILSPORT,2025 Ridgeline - 251000,NEW - 5FPYK3F61SB026354,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_18.PNG,2025 Ridgeline - 251000,NEW - 5FPYK3F61SB026354,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_18.PNG,2025 Ridgeline - 251000 - NEW - 5FPYK3F61SB026354
2025 Honda,Odyssey,EX-L,2025 Odyssey - 251279,NEW - 5FNRL6H63SB074947,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_19.PNG,2025 Odyssey - 251279,NEW - 5FNRL6H63SB074947,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_19.PNG,2025 Odyssey - 251279 - NEW - 5FNRL6H63SB074947
2026 Honda,CR-V,AWDSTRG,2026 CR-V - 260038,NEW - 7FARS6H95TE002568,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_20.PNG,2026 CR-V - 260038,NEW - 7FARS6H95TE002568,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_20.PNG,2026 CR-V - 260038 - NEW - 7FARS6H95TE002568
2025 Honda,Ridgeline,AWD RTL,2025 Ridgeline - 250468,NEW - 5FPYK3F59SB010099,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_21.PNG,2025 Ridgeline - 250468,NEW - 5FPYK3F59SB010099,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_21.PNG,2025 Ridgeline - 250468 - NEW - 5FPYK3F59SB010099
2026 Honda,CR-V,AWDSTRG,2026 CR-V - 260033,NEW - 7FARS6H91TE001238,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_22.PNG,2026 CR-V - 260033,NEW - 7FARS6H91TE001238,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_22.PNG,2026 CR-V - 260033 - NEW - 7FARS6H91TE001238
2026 Honda,CR-V,AWDSTRG,2026 CR-V - 260031,NEW - 7FARS6H98TE000734,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_23.PNG,2026 CR-V - 260031,NEW - 7FARS6H98TE000734,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_23.PNG,2026 CR-V - 260031 - NEW - 7FARS6H98TE000734
2025 Honda,Ridgeline,AWD RTL,2025 Ridgeline - 251190,NEW - 5FPYK3F58SB033969,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_24.PNG,2025 Ridgeline - 251190,NEW - 5FPYK3F58SB033969,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_24.PNG,2025 Ridgeline - 251190 - NEW - 5FPYK3F58SB033969
2025 Honda,CR-V,HYBRID AWD SP TRG,2025 CR-V - 251271,NEW - 7FARS6H91SE112273,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_25.PNG,2025 CR-V - 251271,NEW - 7FARS6H91SE112273,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_25.PNG,2025 CR-V - 251271 - NEW - 7FARS6H91SE112273
2025 Honda,Ridgeline,AWD RTL,2025 Ridgeline - 251295,NEW - 5FPYK3F52SB037953,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_26.PNG,2025 Ridgeline - 251295,NEW - 5FPYK3F52SB037953,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_26.PNG,2025 Ridgeline - 251295 - NEW - 5FPYK3F52SB037953
2025 Honda,Ridgeline,AWD RTL,2025 Ridgeline - 250720,NEW - 5FPYK3F58SB017769,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_27.PNG,2025 Ridgeline - 250720,NEW - 5FPYK3F58SB017769,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_27.PNG,2025 Ridgeline - 250720 - NEW - 5FPYK3F58SB017769
2026 Honda,CR-V,ASPTL,2026 CR-V - 260030,NEW - 7FARS6H81TE001019,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_28.PNG,2026 CR-V - 260030,NEW - 7FARS6H81TE001019,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_28.PNG,2026 CR-V - 260030 - NEW - 7FARS6H81TE001019
2026 Honda,CR-V,ASPTL,2026 CR-V - 260035,NEW - 7FARS6H88TE002202,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_29.PNG,2026 CR-V - 260035,NEW - 7FARS6H88TE002202,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_29.PNG,2026 CR-V - 260035 - NEW - 7FARS6H88TE002202
2025 Honda,Ridgeline,4SPORT+,2025 Ridgeline - 250350,NEW - 5FPYK3F23SB004918,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_30.PNG,2025 Ridgeline - 250350,NEW - 5FPYK3F23SB004918,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_30.PNG,2025 Ridgeline - 250350 - NEW - 5FPYK3F23SB004918
2024 Honda,Ridgeline,Sport,2024 Ridgeline - 240847,NEW - 5FPYK3F24RB024508,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_31.PNG,2024 Ridgeline - 240847,NEW - 5FPYK3F24RB024508,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_31.PNG,2024 Ridgeline - 240847 - NEW - 5FPYK3F24RB024508
2025 Honda,CR-V,HYBRID AWD SPORT-L,2025 CR-V - 251224,NEW - 7FARS6H82SE102214,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_32.PNG,2025 CR-V - 251224,NEW - 7FARS6H82SE102214,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_32.PNG,2025 CR-V - 251224 - NEW - 7FARS6H82SE102214
2026 Honda,CR-V,AWD T/S,2026 CR-V - 260028,NEW - 7FARS6H66TE000558,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_33.PNG,2026 CR-V - 260028,NEW - 7FARS6H66TE000558,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_33.PNG,2026 CR-V - 260028 - NEW - 7FARS6H66TE000558
2025 Honda,CR-V,HYBRID AWD SPORT-L,2025 CR-V - 251241,NEW - 7FARS6H83SE109110,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_34.PNG,2025 CR-V - 251241,NEW - 7FARS6H83SE109110,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_34.PNG,2025 CR-V - 251241 - NEW - 7FARS6H83SE109110
2025 Honda,CR-V,HYBRID AWD SPORT-L,2025 CR-V - 251243,NEW - 7FARS6H87SE097530,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_35.PNG,2025 CR-V - 251243,NEW - 7FARS6H87SE097530,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_35.PNG,2025 CR-V - 251243 - NEW - 7FARS6H87SE097530
2025 Honda,Accord Sedan,HYBRID TOURING,2025 Accord Sedan - 251286,NEW - 1HGCY2F84SA054740,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_36.PNG,2025 Accord Sedan - 251286,NEW - 1HGCY2F84SA054740,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_36.PNG,2025 Accord Sedan - 251286 - NEW - 1HGCY2F84SA054740
2025 Honda,Accord Sedan,HYBRID TOURING,2025 Accord Sedan - 251285,NEW - 1HGCY2F85SA054729,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_37.PNG,2025 Accord Sedan - 251285,NEW - 1HGCY2F85SA054729,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_37.PNG,2025 Accord Sedan - 251285 - NEW - 1HGCY2F85SA054729
2025 Honda,Accord Sedan,HYBRID TOURING,2025 Accord Sedan - 251274,NEW - 1HGCY2F88SA054286,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_38.PNG,2025 Accord Sedan - 251274,NEW - 1HGCY2F88SA054286,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_38.PNG,2025 Accord Sedan - 251274 - NEW - 1HGCY2F88SA054286
2024 Honda,Accord Hybrid,Touring,2024 Accord Hybrid - 240632,NEW - 1HGCY2F86RA052613,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_39.PNG,2024 Accord Hybrid - 240632,NEW - 1HGCY2F86RA052613,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_39.PNG,2024 Accord Hybrid - 240632 - NEW - 1HGCY2F86RA052613
2026 Honda,CR-V,AWDSPRT,2026 CR-V - 260027,NEW - 7FARS6H58TE000424,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_40.PNG,2026 CR-V - 260027,NEW - 7FARS6H58TE000424,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_40.PNG,2026 CR-V - 260027 - NEW - 7FARS6H58TE000424
2025 Honda,CR-V,1.5T AWD EX-L,2025 CR-V - 251240,NEW - 2HKRS4H79SH493810,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_41.PNG,2025 CR-V - 251240,NEW - 2HKRS4H79SH493810,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_41.PNG,2025 CR-V - 251240 - NEW - 2HKRS4H79SH493810
2025 Honda,CR-V,1.5T AWD EX-L,2025 CR-V - 251267,NEW - 7FARS4H72SE021368,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_42.PNG,2025 CR-V - 251267,NEW - 7FARS4H72SE021368,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_42.PNG,2025 CR-V - 251267 - NEW - 7FARS4H72SE021368
2026 Honda,CR-V,AWDEX-L,2026 CR-V - 260039,NEW - 7FARS4H74TE000099,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_43.PNG,2026 CR-V - 260039,NEW - 7FARS4H74TE000099,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_43.PNG,2026 CR-V - 260039 - NEW - 7FARS4H74TE000099
2025 Honda,CR-V,HYBRID AWD SPORT,2025 CR-V - 251247,NEW - 7FARS6H58SE109335,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_44.PNG,2025 CR-V - 251247,NEW - 7FARS6H58SE109335,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_44.PNG,2025 CR-V - 251247 - NEW - 7FARS6H58SE109335
2025 Honda,Accord Sedan,HYBRID SPORT-L,2025 Accord Sedan - 251287,NEW - 1HGCY2F78SA054196,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_45.PNG,2025 Accord Sedan - 251287,NEW - 1HGCY2F78SA054196,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_45.PNG,2025 Accord Sedan - 251287 - NEW - 1HGCY2F78SA054196
2025 Honda,Accord Sedan,HYBRID SPORT-L,2025 Accord Sedan - 251303,NEW - 1HGCY2F7XSA055446,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_46.PNG,2025 Accord Sedan - 251303,NEW - 1HGCY2F7XSA055446,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_46.PNG,2025 Accord Sedan - 251303 - NEW - 1HGCY2F7XSA055446
2025 Honda,Accord Sedan,HYBRID EX-L,2025 Accord Sedan - 251275,NEW - 1HGCY2F63SA054033,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_47.PNG,2025 Accord Sedan - 251275,NEW - 1HGCY2F63SA054033,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_47.PNG,2025 Accord Sedan - 251275 - NEW - 1HGCY2F63SA054033
2025 Honda,Accord Sedan,HYBRID EX-L,2025 Accord Sedan - 251304,NEW - 1HGCY2F68SA055288,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_48.PNG,2025 Accord Sedan - 251304,NEW - 1HGCY2F68SA055288,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_48.PNG,2025 Accord Sedan - 251304 - NEW - 1HGCY2F68SA055288
2026 Honda,CR-V,AWDEX-L,2026 CR-V - 260036,NEW - 7FARS4H76TE000041,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_49.PNG,2026 CR-V - 260036,NEW - 7FARS4H76TE000041,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_49.PNG,2026 CR-V - 260036 - NEW - 7FARS4H76TE000041
2025 Honda,Accord Sedan,HYBRID SPORT-L,2025 Accord Sedan - 250975,NEW - 1HGCY2F70SA025680,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_50.PNG,2025 Accord Sedan - 250975,NEW - 1HGCY2F70SA025680,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_50.PNG,2025 Accord Sedan - 250975 - NEW - 1HGCY2F70SA025680
2025 Honda,CR-V,1.5T AWD EX,2025 CR-V - 251308,NEW - 7FARS4H44SE014377,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_51.PNG,2025 CR-V - 251308,NEW - 7FARS4H44SE014377,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_51.PNG,2025 CR-V - 251308 - NEW - 7FARS4H44SE014377
2025 Honda,Accord Sedan,HYBRID SPORT,2025 Accord Sedan - 251250,NEW - 1HGCY2F56SA052087,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_52.PNG,2025 Accord Sedan - 251250,NEW - 1HGCY2F56SA052087,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_52.PNG,2025 Accord Sedan - 251250 - NEW - 1HGCY2F56SA052087
2025 Honda,Accord Sedan,HYBRID SPORT,2025 Accord Sedan - 251256,NEW - 1HGCY2F50SA052683,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_53.PNG,2025 Accord Sedan - 251256,NEW - 1HGCY2F50SA052683,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_53.PNG,2025 Accord Sedan - 251256 - NEW - 1HGCY2F50SA052683
2025 Honda,Accord Sedan,HYBRID SPORT,2025 Accord Sedan - 251297,NEW - 1HGCY2F57SA051773,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_54.PNG,2025 Accord Sedan - 251297,NEW - 1HGCY2F57SA051773,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_54.PNG,2025 Accord Sedan - 251297 - NEW - 1HGCY2F57SA051773
2025 Honda,Accord Sedan,HYBRID SPORT,2025 Accord Sedan - 251257,NEW - 1HGCY2F57SA052681,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_55.PNG,2025 Accord Sedan - 251257,NEW - 1HGCY2F57SA052681,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_55.PNG,2025 Accord Sedan - 251257 - NEW - 1HGCY2F57SA052681
2025 Honda,Civic Hybrid,Sport Touring,2025 Civic Hybrid - 251232,NEW - JHMFL4H9XSX004304,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_56.PNG,2025 Civic Hybrid - 251232,NEW - JHMFL4H9XSX004304,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_56.PNG,2025 Civic Hybrid - 251232 - NEW - JHMFL4H9XSX004304
2025 Honda,Civic Hybrid,Sport Touring,2025 Civic Hybrid - 251268,NEW - JHMFL4H90SX004893,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_57.PNG,2025 Civic Hybrid - 251268,NEW - JHMFL4H90SX004893,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_57.PNG,2025 Civic Hybrid - 251268 - NEW - JHMFL4H90SX004893
2026 Honda,CR-V,AWDLX,2026 CR-V - 260037,NEW - 7FARS4H28TE000272,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_58.PNG,2026 CR-V - 260037,NEW - 7FARS4H28TE000272,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_58.PNG,2026 CR-V - 260037 - NEW - 7FARS4H28TE000272
2025 Honda,Accord Sedan,HYBRID SPORT,2025 Accord Sedan - 250830,NEW - 1HGCY2F50SA024916,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_59.PNG,2025 Accord Sedan - 250830,NEW - 1HGCY2F50SA024916,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_59.PNG,2025 Accord Sedan - 250830 - NEW - 1HGCY2F50SA024916
2025 Honda,Accord Sedan,HYBRID SPORT,2025 Accord Sedan - 251141,NEW - 1HGCY2F52SA005672,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_60.PNG,2025 Accord Sedan - 251141,NEW - 1HGCY2F52SA005672,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_60.PNG,2025 Accord Sedan - 251141 - NEW - 1HGCY2F52SA005672
2025 Honda,CR-V,1.5T 2WD EX,2025 CR-V - 251221,NEW - 5J6RS3H46SL014216,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_61.PNG,2025 CR-V - 251221,NEW - 5J6RS3H46SL014216,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_61.PNG,2025 CR-V - 251221 - NEW - 5J6RS3H46SL014216
2025 Honda,Civic Sedan,4D HYBRID SPORT TOURING,2025 Civic Sedan - 251161,NEW - 2HGFE4F81SH344162,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_62.PNG,2025 Civic Sedan - 251161,NEW - 2HGFE4F81SH344162,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_62.PNG,2025 Civic Sedan - 251161 - NEW - 2HGFE4F81SH344162
