ORDER,58ADZ1B10NU133431
,1C6RR7GG0LS109843
,1C6RR7LG3FS612194
,1C6RR7MT9FS702428
,1C6RR7NT4ES328050
,1C6RR7TMXES415284
,1C6RRFFG4MN512381
,1C6RRFFG8MN811484
,1C6RRFJG5NN270287
,1C6SRFFT5MN804295
,1C6SRFFT7MN670745
,1C6SRFFT9MN701395
,1C6SRFHMXMN749221
,1C6SRFJT6MN793153
,1C6SRFMT2MN771243
,1FM5K8D87HGB31181
,1FM5K8GT7FGC38664
,1FMCU0F66NUA83314
,1FMCU0GD6HUD93366
,1FT8W3DT6LEE58334
,1FTFW1E59NFB95460
,1G1FY6S09L4122056
,1G1YD3D71E5114950
,1G6DJ1E3XC0103411
,1GKKNKLS0MZ197728
,1GKKNPLS0HZ130923
,1GKKRTED7CJ218273
,1GKS2GKC3HR177124
,1GKS2HKC6FR615203
,1GNEVKKW2PJ195096
,1GNSCHKC7FR207065
,1GNSKTKL8MR157926
,1GTPUEEL8NZ601646
,1GTW7AFF4H1905032
,1HGCV1F38NA080284
,1J4GR48K85C612092
,1N4BL4BV8KC232997
,1N6BA1F46JN525751
,1V2HR2CA1RC534188
,2B3CM5CT0BH552750
,2C3CDXBGXJH163986
,2C3CDXCT2LH176407
,2C3CDXGJ0PH680016
,2C3CDXGJ5PH690122
,2C3CDXGJXPH506650
,2C3CDXHG3NH208733
,2C3CDXHG5MH673173
,2C3CDXL97PH609908
,2C3CDZBT7HH617162
,2C3CDZFJ8PH541300
,2C4RC1BG3PR552641
,2C4RC1BG4PR521365
,2C4RC1BG5HR519075
,2C4RC1DG2MR525861
,2C4RC1EG5LR134264
,2C4RC1GG7LR250983
,2C4RC1GG8KR507132
,2C4RC1GG8NR176623
,2C4RDGBG2HR548016
,3C4NJDBB9LT252507
,3C4NJDDB4KT595172
,3C6JR6AT3DG559315
,3C6JR6DG1PG640123
,3C6JR6DGXPG665036
,3C6TRVDG5KE509543
,3C6UR5CLXMG559851
,3D7KS28A08G158220
,3GCPCREC8GG292855
,3GCPDCEK8NG605241
,3GKALTEG6RL237535
,3GKALTEV8KL198094
,3GNAXKEG4RS115313
,3GNAXKEG9RS101777
,3GTU2MEC6GG125497
,3GTUUEET0NG539050
,3N1CP5CV0LL503406
,3VVCX7B26NM000297
,4JGDA5HB2CA039880
,4T1B11HK3JU592792
,4T1BZ1HK1JU501608
,5FNYF7H53NB003882
,5J6RW2H97HL013420
,5N1BT3BB2PC871065
,5TDKKRFH6ES014137
,5TFDY5F16MX011878
,5XXGN4A79EG296919
,JF2SKAMC6PH448298
,JM3TB2CA9C0348351
,JN8AY2CD4P9695021
,JTM16RFVXNJ016024
,KL4AMDSL9RB003305
,KL79MRSL4RB047845
,KL7CJKSB5MB314495
,NM0LS7E29L1464152
,SALGS2RE6JA514457
,WDBWK56F26F102370
,YV4A22PL0N1863583
,ZACNJDB10PPP57997
,ZACNJDD18MPM36895
,ZACNJDD19MPM97334
,ZARFAMAN7M7641853
,
40763,2G1WV58K881357028
,1GTP6FEK0P1125126
,1C4RJKAG9R8564806
,1C6SRFFT9LN132563
,1C6RR7GG0LS109843
,1C4HJXEG0NW167512
,1C4RJKBG8R8581711
,2G4GL5EX7H9109531
,KL7CJKSB5MB314495
,5N1AZ2MS1KN151139
,KMHLN4AGXMU114065
,5TDKKRFH6ES014137
,
40809,3C6UR5HJ2RG332149
,JTMZD31V786079134
,2T3P1RFV2PC340633
,1C6SRFFPXSN603525
,
40872,1C4RJKBG5R8515598
,2C4RC1BG2RR180583
,1C6SRFFP2SN556362
,1C6RRFGG6SN576496
,1C4SJVGP0PS504522
,
40927,1C4PJMMX5MD178737
,1C4HJXDN6MW832217
,ZACNDFAN4R3A15770
,5FNRL6H72KB025702
,1C4RJKBG8R8581711
,2C4RC1EGXKR675437
,1C4RJHAG2R8573267
,1C4HJXEG4JW125810
,2G11Z5S35K9148628
,1C4SJSFP6RS190927
,1C6SRFFPXSN603525
,KL4CJASBXJB686112
,1C4SDJGJ4RC218942
,1GCSKSE38AZ216354
,
40981,1C6SRFFP7SN551772
,1C6SRFFP9SN551773
,1C6SRFFT9LN132563
,1C6RR7NM1HS876844
,
41040,2T3RFREV2GW507177
,2C4RC1BG3RR203059 
,
41101,3C6LRVNG3RE136298
,3C6LRVNG1RE128314
,1D7RW3GP0BS649000
,3TMCZ5AN6JM176107
,ZACNJBD16LPL88378
,ZFBHRFBB5K6M04926
,1C6SRFFP7SN551769
,5YJ3E1EB4MF992777
,5XYZHDAGXBG063008
,2C4RC1BG3RR203059
,
41146,1C6SRFMT8NN165012
,1G1FY6S09L4122056
,2C4RC1BGXSR507768
,1FM5K8HC2LGA70264
,5XYZU3LB1EG160898
,1ZVBP8EM4D5252418
,1C4RJKBG7R8617145
,1C4AJWAG5FL568641
,1C4PJXFG7RW338594
,
41171,2C4RC1BG8HR519281
,4USBT33453LR61299
,KL4CJASB9JB705023
,1C4PJXFG7RW369635
,3C4PDCBB1KT719332
,1C6HJTAG7RL134391
,1C6HJTAG0RL134393
,
41212,1C4RJKBG7R8617145
,1C4RJHBG7RC231390
,1C4PJXDGXRW357224
,2C4RC1HG7GR271501
,3GCPDCEK8RG181467
,2C3CDXGJ6PH659848
,1C4PJMDB5GW261601
,
41260,2C4RC1BG1SR507769
,1C4HJXDN9LW338142
,1C6HJTAG9RL134392
,2C4RC1BG8HR519281
,2C4RC1BG8SR507770
,1C4SDJCT7SC506497
,1C6SRFJP9SN607489
,2C4RC1BGXSR507771
,1C4RJHAG7RC215773
,1C4GJWBG8FL647908
,ZACNDFAN9R3A21614
,2C3CCAGGXEH352796
,3C6UR5CJXRG370624
,ZACNDFAN7R3A21403
,1C4SJSAP0RS197265
,1C4SJVAP5RS197263
,
41300,1C4RJKAG8R8541064
,2C4RC1BG4SR505207
,1C6SRFFP5SN629336
,1C6SRFGP4SN625647
,1C4PJXFG5RW369634
,1C4RJHAG8SC272392
,1C4SDJCT7SC506385
,1C6SRFHP5SN621069
,
41340,1C6SRFFT0PN532355
,1C4RDJDG6RC136217
,3GCUKSEC7FG179717
,1C6RR7KT8ES170803
,3N1CP5DV0RL472052
,1FAHP2E80FG122291
,2C3CDZBT2HH571692
,1C4RJHAG6SC272388
,1C4RJHAG4SC275435
,1C6SRFGP4SN625647
,1C6RRFGG4SN576495
,1C6SRFFP7SN629337
,1C4RJHAGXSC272393
,
41388,1GKS2GKC9HR180559
,JN8AY2CD4P9695021
,1GCUYEED2MZ117194
,1C4RJHAG7RC215773
,1C6SRFFP9SN629338
,1C6SRFFP7SN633453
,1C6SRFFP5SN633452
,1C6SRFFP3SN632980
,1C6SRFHP7SN595462
,1C4RJHAG6SC275436
,3C4NJDBN6ST526478
,
41438,4JGFB4KB6NA615353
,4T1G11AK2LU328370
,1C6SRFLPXSN635220
,1C6RRFGG6SN639144
,1C4RJHAG1SC275439
,1C6RRFGG8SN639145
,1C6SRFFP7SN633453
,1C6SRFFP5SN633452
,1C6SRFLP8SN622207
,
41482,1GKS2CKJ3HR224613
,2C3CDZAGXJH116597
,1C6RRFGGXSN639146
,2C4RC1CG3SR514429
,1C4RJHAG7RC215773
,1C4RJHAGXSC275438
,1C6SRFFP5SN632978
,1C6SRFLP9SN634804
,1C4RJKBG4R8527676
,1C4RJHAG6SC275436
,3C4NJDBN4ST526480
,1C6RRFGGXSN639597
,1C6RRFGG5SN639362
,1C4RJHAG8SC275440
,
41545,1C4RDJDG6MC523777
,1C4HJXDG4MW670346
,2C4RC1BG6NR177888
,2C3CCABG6PH545408
,2C3CDXGJ5PH690122
,2C4RC1BG0NR139377
,1C6SRFFT0LN159618
,3C4NJDAB1MT578840
,2C3CCAGGXEH352796
,5FNRL6H72KB025702
,3C63RRGL2KG628977
,MAJ6P1WL9JC181036
,1GYS4DKJXHR401924
,3C6RR7LT5HG688510
,1C6SRFBT7MN615332
,1G1JC5SH3F4175333
,2C4RDGEG2HR799341
,1C4HJXDG7KW531888
,5UXTY5C06M9F41703
,1HGCR3F84FA013808
,1G4GD5E34CF304657
,1C4BJWEGXCL216357
,1FT7W2BA3REE01301
,1C4HJXEN4KW687271
,1FTEW1E82HFB46532
,1GCGTDEN2K1268045
,3GTUUCE83RG437182
,5TFHW5F18JX699241
,1C4PJMCBXKD478518
,1C4SJVBP9RS116294
,1C4SJVBP2RS134376
,3C4NJDAN3ST515701
,1C4SDJCT1SC502297
,2C4RC1BG3RR203059
,3C4NJDAN9ST515699
,1C6RRFGG7SN639363
,1C4RJYB67RC107403
,1C4RJHBG9SC273274
,3C4NJDCN7ST526486
,1C6SRFJP2SN626952
,
41567,1C6HJTFG5LL157121
,1C4RJKAG7P8733136
,1J4GL58K73W723557
,1GNSKSKD1PR217942
,2C4RDGEG2HR799341
,1GKS2CKJ3HR224613
,1FMCU0G62LUA29522
,WBAFV3C5XGD687492
,1C6RRFGG4SN639143
,2C4RC1CG3SR514429
,2C4RC1BG3RR203059
,3C4NJDBN4ST526480
,
41584,3C4NJDCB2KT651403
,1C6SRFLT8MN571579
,1C4PJLMX2MD120336
,1FMCU9J93GUC58448
,JF2SJAFC3GH557429
,2C3CDZAGXJH116597
,5NMJFCAE5PH198938
,1C6RR7PT9GS398109
,3GKALMEV0LL139208
,5NTJDDAF8PH049495
,1FT7W2BT4KEF51571
,2FMPK4K97NBA52187
,1C6RRFGG0SN601313
,1C6RRFGG2SN601314
,2C4RC1BGXSR507771
,1C6RRFGG5SN639362
,1C4RJXP62RW232696
,3C6UR5CJ5RG375598
,1C4RJHAG4SC272387
,1C4RJHAGXSC275438
,3C6UR5DJ9RG390006
,1C6SRFFP7SN632979
,1C6SRFHP1SN621070
,3C6UR5FJ8RG376790
,1C4RJHAG8SC275440
,2C4RC1BG2RR110887
,3C4NJDBN1ST526484
,3C6UR5DJ3RG392317
,1C4RJYB69R8509507
,1C4SJSFP6RS187803
,1C6RRFGG8SN639596
,1C6SRFFP5SN632978
,1C6RRFGG1SN639598
,1C4RJYB64RC106662
,1C6RRFGGXSN639146
,1C4PJXFG9RW369636
,2C4RC1CG3SR514429
,1C6SRFLP7SN634803
,1C4RJKBG4R8527676
,1C6SRFFP4SN641817
,
41609,2C4RC1BG6NR177888
,1C6SRFFT5PN533324
,2C3CDXHG4PH642663
,2C3CDXHG3NH208733
,2C3CDYAG3CH294168
,1FATP8UH9G5305183
,1GNSCBKC5GR300391
,1GKS2CKJ3HR224613
,3GTU2NEJ6HG399708
,1C4RDJDG5SC509883
,3C63R3GJ9RG391443
,3C63R3GJ3RG392443
,3C6UR5FJ1RG376789
,1C6SRFFP6SN641818
,1C6RRFGGXSN639597
,3C6UR5DJ7RG390005
,3C6UR5DJ0RG390010
,1C6SRFFP4SN641820
,1C4RJHAG7RC215773
,1C6SRFFP8SN641819
,1C4RJKAG9S8641325
,3C6UR5HJ4RG375617
,1C6SRFLP0SN634805
,1C6SRFLP1SN622209
,
41731,2C3CCAAG9JH314236
,1C4HJXDN3NW154835
,1C6RR7LT1KS520248
,1C4PJMMB1PD110038
,1C6HJTFG7PL527300
,1C6SRFLM8LN413427
,2C3CDXBG1MH632466
,2C4RC1GG8NR153374
,1C6HJTAG0NL160776
,1C4PJMMB1PD112291
,1C6RR7GG6NS237457
,1C4RDJDG9PC682961
,2C3CDZAG0NH263503
,1C4SDJH9XPC614911
,1C4RDJEG4LC146847
,2C3CDXBG1PH651801
,1C4PJLCB6HW592197
,2C3CDXBG0MH642843
,2C4RC1BG9NR142942
,1C6RR7MT2ES213917
,1C6RR7LGXNS203995
,2C4RC1FG4LR238128
,2C3CDXBG9MH632635
,1C4PJMMB3PD114351
,2C4RC1BG5PR521388
,2GNALCEK4G6324990
,1GTU9DED9KZ120985
,1GCVKSEC4HZ236866
,JN8AY2NC0J9554085
,2FMPK4K99KBC11061
,1FAHP2FW7AG109785
,1C4JJXFG0NW157949
,1GKKVTKD8GJ282327
,1N6AD09UX7C420837
,1J4GL48K13W697175
,5GRGN22U55H112862
,1C6RR7KG4HS812232
,1GKKNMLS3LZ132365
,1FTEW1EP2GKE94439
,KL8CD6SA1MC735514
,1C6SRFLP6SN547250
,KL8CD6SA3MC748684
,3VWLL7AJXDM352801
,KNMAT2MT5FP589347
,2C4RC1BG5KR655780
,3C6TR5DT5GG379112
,2T3P1RFV3MW157736
,3N1CP5CV7RL473104
,1C6JJTEG4ML608723
,1GYKPDRS0PZ144373
,3GCUYEET8MG391345
,JN8BT3DC1PW102280
,KNDJ23AU2N7826235
,1C4HJXDG5MW570501
,3C6UR5DL5HG519228
,KNDJ23AU6N7175692
,1C4PJXDG8RW357223
,1C6SRFJP6SN629871
,1C6SRFFP0SN629339
,1C4RJKAG0S8641326
,1C6SRFJP8SN643819
,3C6UR5EL3RG359267
,1C6SRFHP1SN613387
,
41867,1C4HJXDN9MW589809
,1C4RJFBG8KC813640
,1C4PJLCB8GW291591
,3C4PDCEG6JT369816
,1C4BJWDG4GL304425
,2C3CDZFJ6FH783310
,1C4RJFAG7KC787498
,1C6JJTBG4NL102427
,1C4RJFDJ1HC826215
,3N1AB8BV2LY234238
,1G4HP572X6U106349
,3VWRW31C49M501125
,1GCHK23G56F168451
,1GCPDDEK1NZ509246
,JN8AF5MV5DT208924
,1C4RJFBG6JC225783
,5GAKRBKDXEJ258720
,1C6RR7FM2ES302716
,1C4NJDEB9ED650028
,1GKKVRKD9GJ314205
,1FTFX1EG5FKF04493
,1G1ZB5E08CF271616
,JHMGE8H45AS021792
,1C6RR7KT5ES261608
,1C4HJXAN8KW682001
,1GYS4KKJ9GR129482
,3GCUKREC5JG333374
,2C4RC1CG5ER304208
,ZACNJDB10PPP40360
,1C4RJHAG8SC278211
,
BASELINE 2.21,2C3CDXBGXPH530250
,1C4HJXDG1PW568314
,2C3CDZAG1NH263381
,1C4JJXP69MW799655
,1C4RJFAG6HC744943
,2C3CDXCT2NH261654
,1C4JJXP64MW751058
,2C3CDXHG1PH559966
,1C4RJFAG0GC354760
,2C3CDXBG8NH261405
,3C4NJDBN6RT106276
,ZACNJDAB0MPM28013
,2C4RDGCG2HR797902
,1C4RDJDGXRC153179
,2C3CDZAG8PH563003
,1C4SJVGP0PS504522
,2C4RC1GG8NR177562
,2C4RDGBG9HR633029
,2C3CDXCT9NH119091
